"","Year","Type.of.Animal","value"
"1","1975","Total cattle",6213.7
"2","1976","Total cattle",6210
"3","1977","Total cattle",6245.5
"4","1978","Total cattle",6132.1
"5","1979","Total cattle",6170.9
"6","1980","Total cattle",5825.5
"7","1981","Total cattle",5763.2
"8","1982","Total cattle",5795.2
"9","1983","Total cattle",5830.5
"10","1984","Total cattle",5860.9
"11","1985","Total cattle",5813
"12","1986","Total cattle",5670.3
"13","1987","Total cattle",5632.7
"14","1988","Total cattle",5698.7
"15","1989","Total cattle",5969.1
"16","1990","Total cattle",6100.5
"17","1991","Total cattle",6147.4
"18","1992","Total cattle",6236.4
"19","1993","Total cattle",6263.9
"20","1994","Total cattle",6343.9
"21","1995","Total cattle",6450.6
"22","1996","Total cattle",6660.9
"23","1997","Total cattle",6881.6
"24","1998","Total cattle",6951.7
"25","1999","Total cattle",6557.9
"26","2000","Total cattle",6330.2
"27","2001","Total cattle",6408.1
"28","2002","Total cattle",6332.8
"29","2003","Total cattle",6223.4
"30","2004","Total cattle",6211.5
"31","1975","Breeding cattle",2314.5
"32","1976","Breeding cattle",2328.5
"33","1977","Breeding cattle",2332.1
"34","1978","Breeding cattle",2343.9
"35","1979","Breeding cattle",2292.6
"36","1980","Breeding cattle",2202.1
"37","1981","Breeding cattle",2217.8
"38","1982","Breeding cattle",2246.2
"39","1983","Breeding cattle",2248.7
"40","1984","Breeding cattle",2243.8
"41","1985","Breeding cattle",2226.5
"42","1986","Breeding cattle",2157.6
"43","1987","Breeding cattle",2127.9
"44","1988","Breeding cattle",2227.2
"45","1989","Breeding cattle",2298.6
"46","1990","Breeding cattle",2355.7
"47","1991","Breeding cattle",2375.5
"48","1992","Breeding cattle",2511.3
"49","1993","Breeding cattle",2534.5
"50","1994","Breeding cattle",2554.3
"51","1995","Breeding cattle",2628.6
"52","1996","Breeding cattle",2723.4
"53","1997","Breeding cattle",2808
"54","1998","Breeding cattle",2794.4
"55","1999","Breeding cattle",2723.7
"56","2000","Breeding cattle",2701.1
"57","2001","Breeding cattle",2714.4
"58","2002","Breeding cattle",2692.2
"59","2003","Breeding cattle",2703
"60","2004","Breeding cattle",2712.9
"61","1975","Cows",1942.3
"62","1976","Cows",1968.4
"63","1977","Cows",1995.9
"64","1978","Cows",1988.7
"65","1979","Cows",1955.1
"66","1980","Cows",1867.5
"67","1981","Cows",1862.2
"68","1982","Cows",1913.4
"69","1983","Cows",1933.6
"70","1984","Cows",1943.2
"71","1985","Cows",1934.8
"72","1986","Cows",1888.2
"73","1987","Cows",1853.7
"74","1988","Cows",1910
"75","1989","Cows",2000.8
"76","1990","Cows",2051.6
"77","1991","Cows",2072
"78","1992","Cows",2162.9
"79","1993","Cows",2184.9
"80","1994","Cows",2201.7
"81","1995","Cows",2225.4
"82","1996","Cows",2299
"83","1997","Cows",2365.2
"84","1998","Cows",2395
"85","1999","Cows",2340.6
"86","2000","Cows",2308
"87","2001","Cows",2307.7
"88","2002","Cows",2279.5
"89","2003","Cows",2279.9
"90","2004","Cows",2272.6
"91","1975","Dairy cows",1379.5
"92","1976","Dairy cows",1435.9
"93","1977","Dairy cows",1483.5
"94","1978","Dairy cows",1512.7
"95","1979","Dairy cows",1502.5
"96","1980","Dairy cows",1448.9
"97","1981","Dairy cows",1451.8
"98","1982","Dairy cows",1499.5
"99","1983","Dairy cows",1515.9
"100","1984","Dairy cows",1523.3
"101","1985","Dairy cows",1495.2
"102","1986","Dairy cows",1451.4
"103","1987","Dairy cows",1398.1
"104","1988","Dairy cows",1335
"105","1989","Dairy cows",1341.6
"106","1990","Dairy cows",1322.2
"107","1991","Dairy cows",1288
"108","1992","Dairy cows",1246.2
"109","1993","Dairy cows",1248.3
"110","1994","Dairy cows",1233
"111","1995","Dairy cows",1220.8
"112","1996","Dairy cows",1215.6
"113","1997","Dairy cows",1201.4
"114","1998","Dairy cows",1198.8
"115","1999","Dairy cows",1173.8
"116","2000","Dairy cows",1152.8
"117","2001","Dairy cows",1148
"118","2002","Dairy cows",1128.7
"119","2003","Dairy cows",1135.7
"120","2004","Dairy cows",1121.8
"121","1975","Other cows",562.8
"122","1976","Other cows",532.5
"123","1977","Other cows",512.4
"124","1978","Other cows",476
"125","1979","Other cows",452.6
"126","1980","Other cows",418.6
"127","1981","Other cows",410.4
"128","1982","Other cows",413.9
"129","1983","Other cows",417.7
"130","1984","Other cows",419.9
"131","1985","Other cows",439.6
"132","1986","Other cows",436.8
"133","1987","Other cows",455.6
"134","1988","Other cows",575
"135","1989","Other cows",659.2
"136","1990","Other cows",729.4
"137","1991","Other cows",784
"138","1992","Other cows",916.7
"139","1993","Other cows",936.6
"140","1994","Other cows",968.7
"141","1995","Other cows",1004.6
"142","1996","Other cows",1083.4
"143","1997","Other cows",1163.8
"144","1998","Other cows",1196.2
"145","1999","Other cows",1166.8
"146","2000","Other cows",1155.2
"147","2001","Other cows",1159.7
"148","2002","Other cows",1150.8
"149","2003","Other cows",1144.2
"150","2004","Other cows",1150.8
"151","1975","Heifers in calf",355.5
"152","1976","Heifers in calf",343.4
"153","1977","Heifers in calf",319
"154","1978","Heifers in calf",338.2
"155","1979","Heifers in calf",320.6
"156","1980","Heifers in calf",318.9
"157","1981","Heifers in calf",339.9
"158","1982","Heifers in calf",317
"159","1983","Heifers in calf",299
"160","1984","Heifers in calf",284
"161","1985","Heifers in calf",274.3
"162","1986","Heifers in calf",250.4
"163","1987","Heifers in calf",254
