"","Year","Type.of.Livestock","Rural.District","value"
"16975","1975","Ewes : long woolled galway type","Kells",4267
"16976","1980","Ewes : long woolled galway type","Kells",2413
"16977","1926","Ewes : other breeds","Kells",NA
"16978","1933","Ewes : other breeds","Kells",NA
"16979","1955","Ewes : other breeds","Kells",NA
"16980","1960","Ewes : other breeds","Kells",NA
"16981","1965","Ewes : other breeds","Kells",5433
"16982","1970","Ewes : other breeds","Kells",2370
"16983","1975","Ewes : other breeds","Kells",1817
"16984","1980","Ewes : other breeds","Kells",2175
"16985","1926","Other sheep","Kells",13655
"16986","1933","Other sheep","Kells",16392
"16987","1955","Other sheep","Kells",12387
"16988","1960","Other sheep","Kells",20490
"16989","1965","Other sheep","Kells",24772
"16990","1970","Other sheep","Kells",16500
"16991","1975","Other sheep","Kells",10334
"16992","1980","Other sheep","Kells",6247
"16993","1926","Other sheep : one year and over","Kells",2223
"16994","1933","Other sheep : one year and over","Kells",1531
"16995","1955","Other sheep : one year and over","Kells",427
"16996","1960","Other sheep : one year and over","Kells",1068
"16997","1965","Other sheep : one year and over","Kells",598
"16998","1970","Other sheep : one year and over","Kells",1096
"16999","1975","Other sheep : one year and over","Kells",691
"17000","1980","Other sheep : one year and over","Kells",299
"17001","1926","Other sheep : less than one year","Kells",11432
"17002","1933","Other sheep : less than one year","Kells",14861
"17003","1955","Other sheep : less than one year","Kells",11960
"17004","1960","Other sheep : less than one year","Kells",19422
"17005","1965","Other sheep : less than one year","Kells",24174
"17006","1970","Other sheep : less than one year","Kells",15404
"17007","1975","Other sheep : less than one year","Kells",9643
"17008","1980","Other sheep : less than one year","Kells",5948
"17009","1926","Pigs","Kells",4189
"17010","1933","Pigs","Kells",4334
"17011","1955","Pigs","Kells",4479
"17012","1960","Pigs","Kells",6041
"17013","1965","Pigs","Kells",7776
"17014","1970","Pigs","Kells",4952
"17015","1975","Pigs","Kells",1531
"17016","1980","Pigs","Kells",2663
"17017","1926","Pigs for breeding","Kells",517
"17018","1933","Pigs for breeding","Kells",515
"17019","1955","Pigs for breeding","Kells",584
"17020","1960","Pigs for breeding","Kells",906
"17021","1965","Pigs for breeding","Kells",1170
"17022","1970","Pigs for breeding","Kells",794
"17023","1975","Pigs for breeding","Kells",299
"17024","1980","Pigs for breeding","Kells",324
"17025","1926","Boars for breeding","Kells",4
"17026","1933","Boars for breeding","Kells",3
"17027","1955","Boars for breeding","Kells",16
"17028","1960","Boars for breeding","Kells",26
"17029","1965","Boars for breeding","Kells",15
"17030","1970","Boars for breeding","Kells",16
"17031","1975","Boars for breeding","Kells",9
"17032","1980","Boars for breeding","Kells",16
"17033","1926","Sows for breeding","Kells",513
"17034","1933","Sows for breeding","Kells",512
"17035","1955","Sows for breeding","Kells",568
"17036","1960","Sows for breeding","Kells",880
"17037","1965","Sows for breeding","Kells",1155
"17038","1970","Sows for breeding","Kells",778
"17039","1975","Sows for breeding","Kells",290
"17040","1980","Sows for breeding","Kells",308
"17041","1926","Other pigs","Kells",3672
"17042","1933","Other pigs","Kells",3819
"17043","1955","Other pigs","Kells",3895
"17044","1960","Other pigs","Kells",5135
"17045","1965","Other pigs","Kells",6606
"17046","1970","Other pigs","Kells",4158
"17047","1975","Other pigs","Kells",1232
"17048","1980","Other pigs","Kells",2339
"17049","1926","Horses and ponies","Kells",2690
"17050","1933","Horses and ponies","Kells",2686
"17051","1955","Horses and ponies","Kells",1850
"17052","1960","Horses and ponies","Kells",1251
"17053","1965","Horses and ponies","Kells",826
"17054","1970","Horses and ponies","Kells",567
"17055","1975","Horses and ponies","Kells",465
"17056","1980","Horses and ponies","Kells",446
"17057","1926","Working horses and ponies","Kells",NA
"17058","1933","Working horses and ponies","Kells",NA
"17059","1955","Working horses and ponies","Kells",NA
"17060","1960","Working horses and ponies","Kells",869
"17061","1965","Working horses and ponies","Kells",444
"17062","1970","Working horses and ponies","Kells",258
"17063","1975","Working horses and ponies","Kells",72
"17064","1980","Working horses and ponies","Kells",27
"17065","1926","Thoroughbreds","Kells",NA
"17066","1933","Thoroughbreds","Kells",NA
"17067","1955","Thoroughbreds","Kells",NA
"17068","1960","Thoroughbreds","Kells",229
"17069","1965","Thoroughbreds","Kells",221
"17070","1970","Thoroughbreds","Kells",212
"17071","1975","Thoroughbreds","Kells",218
"17072","1980","Thoroughbreds","Kells",218
"17073","1926","Other horses and ponies","Kells",NA
"17074","1933","Other horses and ponies","Kells",NA
"17075","1955","Other horses and ponies","Kells",NA
"17076","1960","Other horses and ponies","Kells",153
"17077","1965","Other horses and ponies","Kells",161
"17078","1970","Other horses and ponies","Kells",97
"17079","1975","Other horses and ponies","Kells",175
"17080","1980","Other horses and ponies","Kells",201
"17081","1926","Mules, jennets and asses","Kells",NA
"17082","1933","Mules, jennets and asses","Kells",NA
"17083","1955","Mules, jennets and asses","Kells",NA
"17084","1960","Mules, jennets and asses","Kells",NA
"17085","1965","Mules, jennets and asses","Kells",NA
"17086","1970","Mules, jennets and asses","Kells",NA
"17087","1975","Mules, jennets and asses","Kells",28
"17088","1980","Mules, jennets and asses","Kells",30
"17089","1926","Goats","Kells",NA
"17090","1933","Goats","Kells",NA
"17091","1955","Goats","Kells",NA
"17092","1960","Goats","Kells",NA
"17093","1965","Goats","Kells",NA
"17094","1970","Goats","Kells",NA
"17095","1975","Goats","Kells",NA
"17096","1980","Goats","Kells",114
"17097","1926","Poultry","Kells",152942
"17098","1933","Poultry","Kells",160543
"17099","1955","Poultry","Kells",122043
"17100","1960","Poultry","Kells",93939
"17101","1965","Poultry","Kells",69975
"17102","1970","Poultry","Kells",47574
"17103","1975","Poultry","Kells",36460
"17104","1980","Poultry","Kells",NA
"17105","1926","Turkeys","Kells",4427
"17106","1933","Turkeys","Kells",7103
"17107","1955","Turkeys","Kells",7268
"17108","1960","Turkeys","Kells",6091
"17109","1965","Turkeys","Kells",2891
"17110","1970","Turkeys","Kells",3163
"17111","1975","Turkeys","Kells",2768
"17112","1980","Turkeys","Kells",NA
"17113","1926","Geese","Kells",2180
"17114","1933","Geese","Kells",2272
"17115","1955","Geese","Kells",909
"17116","1960","Geese","Kells",590
"17117","1965","Geese","Kells",279
"17118","1970","Geese","Kells",182
"17119","1975","Geese","Kells",82
"17120","1980","Geese","Kells",94
"17121","1926","Ducks","Kells",13300
"17122","1933","Ducks","Kells",11049
"17123","1955","Ducks","Kells",3844
"17124","1960","Ducks","Kells",1729
"17125","1965","Ducks","Kells",651
"17126","1970","Ducks","Kells",519
"17127","1975","Ducks","Kells",219
"17128","1980","Ducks","Kells",239
"17129","1926","Ordinary fowl","Kells",133035
"17130","1933","Ordinary fowl","Kells",140119
"17131","1955","Ordinary fowl","Kells",110022
"17132","1960","Ordinary fowl","Kells",85529
"17133","1965","Ordinary fowl","Kells",66154
"17134","1970","Ordinary fowl","Kells",43710
"17135","1975","Ordinary fowl","Kells",33391
"17136","1980","Ordinary fowl","Kells",NA
"17137","1926","Cattle","Meath",21619
"17138","1933","Cattle","Meath",23914
"17139","1955","Cattle","Meath",24863
"17140","1960","Cattle","Meath",26367
"17141","1965","Cattle","Meath",28978
"17142","1970","Cattle","Meath",26189
"17143","1975","Cattle","Meath",32193
"17144","1980","Cattle","Meath",27124
"17145","1926","Bulls","Meath",35
"17146","1933","Bulls","Meath",45
"17147","1955","Bulls","Meath",38
"17148","1960","Bulls","Meath",62
"17149","1965","Bulls","Meath",66
"17150","1970","Bulls","Meath",52
"17151","1975","Bulls","Meath",60
"17152","1980","Bulls","Meath",42
"17153","1926","Cows","Meath",1914
"17154","1933","Cows","Meath",2688
"17155","1955","Cows","Meath",4236
"17156","1960","Cows","Meath",4748
"17157","1965","Cows","Meath",6341
"17158","1970","Cows","Meath",5741
"17159","1975","Cows","Meath",6887
"17160","1980","Cows","Meath",6377
"17161","1926","Dairy cows","Meath",NA
"17162","1933","Dairy cows","Meath",NA
"17163","1955","Dairy cows","Meath",NA
"17164","1960","Dairy cows","Meath",NA
"17165","1965","Dairy cows","Meath",NA
"17166","1970","Dairy cows","Meath",NA
"17167","1975","Dairy cows","Meath",4425
"17168","1980","Dairy cows","Meath",5369
"17169","1926","Other cows","Meath",NA
"17170","1933","Other cows","Meath",NA
"17171","1955","Other cows","Meath",NA
"17172","1960","Other cows","Meath",NA
"17173","1965","Other cows","Meath",NA
"17174","1970","Other cows","Meath",NA
"17175","1975","Other cows","Meath",2462
"17176","1980","Other cows","Meath",1008
"17177","1926","Cows : friesian and friesian cross","Meath",NA
"17178","1933","Cows : friesian and friesian cross","Meath",NA
"17179","1955","Cows : friesian and friesian cross","Meath",NA
"17180","1960","Cows : friesian and friesian cross","Meath",602
"17181","1965","Cows : friesian and friesian cross","Meath",2314
"17182","1970","Cows : friesian and friesian cross","Meath",3845
"17183","1975","Cows : friesian and friesian cross","Meath",5168
"17184","1980","Cows : friesian and friesian cross","Meath",5851
"17185","1926","Cows : shorthorn","Meath",NA
"17186","1933","Cows : shorthorn","Meath",NA
"17187","1955","Cows : shorthorn","Meath",NA
"17188","1960","Cows : shorthorn","Meath",3616
"17189","1965","Cows : shorthorn","Meath",2988
"17190","1970","Cows : shorthorn","Meath",1111
"17191","1975","Cows : shorthorn","Meath",487
"17192","1980","Cows : shorthorn","Meath",175
"17193","1926","Cows : other breeds","Meath",NA
"17194","1933","Cows : other breeds","Meath",NA
"17195","1955","Cows : other breeds","Meath",NA
"17196","1960","Cows : other breeds","Meath",530
"17197","1965","Cows : other breeds","Meath",1039
"17198","1970","Cows : other breeds","Meath",785
"17199","1975","Cows : other breeds","Meath",1232
"17200","1980","Cows : other breeds","Meath",351
"17201","1926","Heifers in calf","Meath",470
"17202","1933","Heifers in calf","Meath",360
"17203","1955","Heifers in calf","Meath",305
"17204","1960","Heifers in calf","Meath",580
"17205","1965","Heifers in calf","Meath",1044
"17206","1970","Heifers in calf","Meath",925
"17207","1975","Heifers in calf","Meath",1319
"17208","1980","Heifers in calf","Meath",1049
"17209","1926","Dairy heifers","Meath",NA
"17210","1933","Dairy heifers","Meath",NA
"17211","1955","Dairy heifers","Meath",NA
"17212","1960","Dairy heifers","Meath",NA
"17213","1965","Dairy heifers","Meath",NA
"17214","1970","Dairy heifers","Meath",NA
"17215","1975","Dairy heifers","Meath",NA
"17216","1980","Dairy heifers","Meath",893
"17217","1926","Other heifers","Meath",NA
"17218","1933","Other heifers","Meath",NA
"17219","1955","Other heifers","Meath",NA
"17220","1960","Other heifers","Meath",NA
"17221","1965","Other heifers","Meath",NA
"17222","1970","Other heifers","Meath",NA
"17223","1975","Other heifers","Meath",NA
"17224","1980","Other heifers","Meath",156
"17225","1926","Other cattle","Meath",19200
"17226","1933","Other cattle","Meath",20821
"17227","1955","Other cattle","Meath",20284
"17228","1960","Other cattle","Meath",20977
"17229","1965","Other cattle","Meath",21527
"17230","1970","Other cattle","Meath",19471
"17231","1975","Other cattle","Meath",23927
"17232","1980","Other cattle","Meath",19656
"17233","1926","Other cattle : 3 years and over","Meath",6249
"17234","1933","Other cattle : 3 years and over","Meath",5140
"17235","1955","Other cattle : 3 years and over","Meath",6838
"17236","1960","Other cattle : 3 years and over","Meath",4405
"17237","1965","Other cattle : 3 years and over","Meath",3369
"17238","1970","Other cattle : 3 years and over","Meath",1604
"17239","1975","Other cattle : 3 years and over","Meath",3213
"17240","1980","Other cattle : 3 years and over","Meath",1143
"17241","1926","Other cattle : 3 years and over male","Meath",NA
"17242","1933","Other cattle : 3 years and over male","Meath",NA
"17243","1955","Other cattle : 3 years and over male","Meath",NA
"17244","1960","Other cattle : 3 years and over male","Meath",NA
"17245","1965","Other cattle : 3 years and over male","Meath",NA
"17246","1970","Other cattle : 3 years and over male","Meath",1280
"17247","1975","Other cattle : 3 years and over male","Meath",2666
"17248","1980","Other cattle : 3 years and over male","Meath",985
"17249","1926","Other cattle : 3 years and over female","Meath",NA
"17250","1933","Other cattle : 3 years and over female","Meath",NA
"17251","1955","Other cattle : 3 years and over female","Meath",NA
"17252","1960","Other cattle : 3 years and over female","Meath",NA
"17253","1965","Other cattle : 3 years and over female","Meath",NA
"17254","1970","Other cattle : 3 years and over female","Meath",324
"17255","1975","Other cattle : 3 years and over female","Meath",547
"17256","1980","Other cattle : 3 years and over female","Meath",158
"17257","1926","Other cattle : 2 - 3 years","Meath",8457
"17258","1933","Other cattle : 2 - 3 years","Meath",8418
"17259","1955","Other cattle : 2 - 3 years","Meath",6123
"17260","1960","Other cattle : 2 - 3 years","Meath",7853
"17261","1965","Other cattle : 2 - 3 years","Meath",6978
"17262","1970","Other cattle : 2 - 3 years","Meath",8071
"17263","1975","Other cattle : 2 - 3 years","Meath",8302
"17264","1980","Other cattle : 2 - 3 years","Meath",6751
"17265","1926","Other cattle : 2 - 3 years male","Meath",NA
"17266","1933","Other cattle : 2 - 3 years male","Meath",NA
"17267","1955","Other cattle : 2 - 3 years male","Meath",NA
"17268","1960","Other cattle : 2 - 3 years male","Meath",NA
"17269","1965","Other cattle : 2 - 3 years male","Meath",NA
"17270","1970","Other cattle : 2 - 3 years male","Meath",6313
"17271","1975","Other cattle : 2 - 3 years male","Meath",6647
"17272","1980","Other cattle : 2 - 3 years male","Meath",5334
"17273","1926","Other cattle : 2 - 3 years female","Meath",NA
"17274","1933","Other cattle : 2 - 3 years female","Meath",NA
"17275","1955","Other cattle : 2 - 3 years female","Meath",NA
"17276","1960","Other cattle : 2 - 3 years female","Meath",NA
"17277","1965","Other cattle : 2 - 3 years female","Meath",NA
"17278","1970","Other cattle : 2 - 3 years female","Meath",1758
"17279","1975","Other cattle : 2 - 3 years female","Meath",1655
"17280","1980","Other cattle : 2 - 3 years female","Meath",1417
"17281","1926","Other cattle : 1 - 2 years","Meath",2719
"17282","1933","Other cattle : 1 - 2 years","Meath",4378
"17283","1955","Other cattle : 1 - 2 years","Meath",3964
"17284","1960","Other cattle : 1 - 2 years","Meath",4887
"17285","1965","Other cattle : 1 - 2 years","Meath",6260
"17286","1970","Other cattle : 1 - 2 years","Meath",5865
"17287","1975","Other cattle : 1 - 2 years","Meath",6699
"17288","1980","Other cattle : 1 - 2 years","Meath",6360
"17289","1926","Other cattle : 1 - 2 years male","Meath",NA
"17290","1933","Other cattle : 1 - 2 years male","Meath",NA
"17291","1955","Other cattle : 1 - 2 years male","Meath",NA
"17292","1960","Other cattle : 1 - 2 years male","Meath",NA
"17293","1965","Other cattle : 1 - 2 years male","Meath",NA
"17294","1970","Other cattle : 1 - 2 years male","Meath",3535
"17295","1975","Other cattle : 1 - 2 years male","Meath",4067
"17296","1980","Other cattle : 1 - 2 years male","Meath",3573
"17297","1926","Other cattle : 1 - 2 years female","Meath",NA
"17298","1933","Other cattle : 1 - 2 years female","Meath",NA
"17299","1955","Other cattle : 1 - 2 years female","Meath",NA
"17300","1960","Other cattle : 1 - 2 years female","Meath",NA
"17301","1965","Other cattle : 1 - 2 years female","Meath",NA
"17302","1970","Other cattle : 1 - 2 years female","Meath",2330
"17303","1975","Other cattle : 1 - 2 years female","Meath",2632
"17304","1980","Other cattle : 1 - 2 years female","Meath",2787
"17305","1926","Other cattle : less than 1","Meath",1775
"17306","1933","Other cattle : less than 1","Meath",2885
"17307","1955","Other cattle : less than 1","Meath",3359
"17308","1960","Other cattle : less than 1","Meath",3832
"17309","1965","Other cattle : less than 1","Meath",4920
"17310","1970","Other cattle : less than 1","Meath",3931
"17311","1975","Other cattle : less than 1","Meath",5713
"17312","1980","Other cattle : less than 1","Meath",5402
"17313","1926","Other cattle : less than 1 male","Meath",NA
"17314","1933","Other cattle : less than 1 male","Meath",NA
"17315","1955","Other cattle : less than 1 male","Meath",NA
"17316","1960","Other cattle : less than 1 male","Meath",NA
"17317","1965","Other cattle : less than 1 male","Meath",NA
"17318","1970","Other cattle : less than 1 male","Meath",2072
"17319","1975","Other cattle : less than 1 male","Meath",2995
"17320","1980","Other cattle : less than 1 male","Meath",2735
"17321","1926","Other cattle : less than 1 female","Meath",NA
"17322","1933","Other cattle : less than 1 female","Meath",NA
"17323","1955","Other cattle : less than 1 female","Meath",NA
"17324","1960","Other cattle : less than 1 female","Meath",NA
"17325","1965","Other cattle : less than 1 female","Meath",NA
"17326","1970","Other cattle : less than 1 female","Meath",1859
"17327","1975","Other cattle : less than 1 female","Meath",2718
"17328","1980","Other cattle : less than 1 female","Meath",2667
"17329","1926","Sheep","Meath",21902
"17330","1933","Sheep","Meath",31023
"17331","1955","Sheep","Meath",23674
"17332","1960","Sheep","Meath",31360
"17333","1965","Sheep","Meath",40887
"17334","1970","Sheep","Meath",34856
"17335","1975","Sheep","Meath",21128
"17336","1980","Sheep","Meath",13851
"17337","1926","Sheep for breeding","Meath",13448
"17338","1933","Sheep for breeding","Meath",16797
"17339","1955","Sheep for breeding","Meath",10844
"17340","1960","Sheep for breeding","Meath",14769
"17341","1965","Sheep for breeding","Meath",19623
"17342","1970","Sheep for breeding","Meath",15918
"17343","1975","Sheep for breeding","Meath",10519
"17344","1980","Sheep for breeding","Meath",6757
"17345","1926","Rams for breeding","Meath",440
"17346","1933","Rams for breeding","Meath",522
"17347","1955","Rams for breeding","Meath",313
"17348","1960","Rams for breeding","Meath",383
"17349","1965","Rams for breeding","Meath",490
"17350","1970","Rams for breeding","Meath",423
"17351","1975","Rams for breeding","Meath",308
"17352","1980","Rams for breeding","Meath",162
"17353","1926","Ewes for breeding","Meath",13008
"17354","1933","Ewes for breeding","Meath",16275
"17355","1955","Ewes for breeding","Meath",10531
"17356","1960","Ewes for breeding","Meath",14386
"17357","1965","Ewes for breeding","Meath",19133
"17358","1970","Ewes for breeding","Meath",15495
"17359","1975","Ewes for breeding","Meath",10211
"17360","1980","Ewes for breeding","Meath",6595
"17361","1926","Ewes : cheviot type","Meath",NA
"17362","1933","Ewes : cheviot type","Meath",NA
"17363","1955","Ewes : cheviot type","Meath",NA
"17364","1960","Ewes : cheviot type","Meath",NA
"17365","1965","Ewes : cheviot type","Meath",5808
"17366","1970","Ewes : cheviot type","Meath",7236
"17367","1975","Ewes : cheviot type","Meath",5685
"17368","1980","Ewes : cheviot type","Meath",4235
"17369","1926","Ewes : blackface moutain type","Meath",NA
"17370","1933","Ewes : blackface moutain type","Meath",NA
"17371","1955","Ewes : blackface moutain type","Meath",NA
"17372","1960","Ewes : blackface moutain type","Meath",NA
"17373","1965","Ewes : blackface moutain type","Meath",2995
"17374","1970","Ewes : blackface moutain type","Meath",1435
"17375","1975","Ewes : blackface moutain type","Meath",1103
"17376","1980","Ewes : blackface moutain type","Meath",569
"17377","1926","Ewes : long woolled galway type","Meath",NA
"17378","1933","Ewes : long woolled galway type","Meath",NA
"17379","1955","Ewes : long woolled galway type","Meath",NA
"17380","1960","Ewes : long woolled galway type","Meath",NA
"17381","1965","Ewes : long woolled galway type","Meath",1250
"17382","1970","Ewes : long woolled galway type","Meath",893
"17383","1975","Ewes : long woolled galway type","Meath",860
"17384","1980","Ewes : long woolled galway type","Meath",287
"17385","1926","Ewes : other breeds","Meath",NA
"17386","1933","Ewes : other breeds","Meath",NA
"17387","1955","Ewes : other breeds","Meath",NA
"17388","1960","Ewes : other breeds","Meath",NA
"17389","1965","Ewes : other breeds","Meath",9080
"17390","1970","Ewes : other breeds","Meath",5931
"17391","1975","Ewes : other breeds","Meath",2563
"17392","1980","Ewes : other breeds","Meath",1504
"17393","1926","Other sheep","Meath",8454
"17394","1933","Other sheep","Meath",14226
"17395","1955","Other sheep","Meath",12830
"17396","1960","Other sheep","Meath",16591
"17397","1965","Other sheep","Meath",21264
"17398","1970","Other sheep","Meath",18938
"17399","1975","Other sheep","Meath",10609
"17400","1980","Other sheep","Meath",7094
"17401","1926","Other sheep : one year and over","Meath",532
"17402","1933","Other sheep : one year and over","Meath",660
"17403","1955","Other sheep : one year and over","Meath",387
"17404","1960","Other sheep : one year and over","Meath",389
"17405","1965","Other sheep : one year and over","Meath",261
"17406","1970","Other sheep : one year and over","Meath",936
"17407","1975","Other sheep : one year and over","Meath",232
"17408","1980","Other sheep : one year and over","Meath",84
"17409","1926","Other sheep : less than one year","Meath",7922
"17410","1933","Other sheep : less than one year","Meath",13566
"17411","1955","Other sheep : less than one year","Meath",12443
"17412","1960","Other sheep : less than one year","Meath",16202
"17413","1965","Other sheep : less than one year","Meath",21003
"17414","1970","Other sheep : less than one year","Meath",18002
"17415","1975","Other sheep : less than one year","Meath",10377
"17416","1980","Other sheep : less than one year","Meath",7010
"17417","1926","Pigs","Meath",915
"17418","1933","Pigs","Meath",743
"17419","1955","Pigs","Meath",862
"17420","1960","Pigs","Meath",2218
"17421","1965","Pigs","Meath",3732
"17422","1970","Pigs","Meath",1447
"17423","1975","Pigs","Meath",2525
"17424","1980","Pigs","Meath",NA
"17425","1926","Pigs for breeding","Meath",88
"17426","1933","Pigs for breeding","Meath",93
"17427","1955","Pigs for breeding","Meath",102
"17428","1960","Pigs for breeding","Meath",287
"17429","1965","Pigs for breeding","Meath",250
"17430","1970","Pigs for breeding","Meath",150
"17431","1975","Pigs for breeding","Meath",105
"17432","1980","Pigs for breeding","Meath",NA
"17433","1926","Boars for breeding","Meath",2
"17434","1933","Boars for breeding","Meath",5
"17435","1955","Boars for breeding","Meath",4
"17436","1960","Boars for breeding","Meath",8
"17437","1965","Boars for breeding","Meath",8
"17438","1970","Boars for breeding","Meath",1
"17439","1975","Boars for breeding","Meath",4
"17440","1980","Boars for breeding","Meath",NA
"17441","1926","Sows for breeding","Meath",86
"17442","1933","Sows for breeding","Meath",88
"17443","1955","Sows for breeding","Meath",98
"17444","1960","Sows for breeding","Meath",279
"17445","1965","Sows for breeding","Meath",242
"17446","1970","Sows for breeding","Meath",149
"17447","1975","Sows for breeding","Meath",101
"17448","1980","Sows for breeding","Meath",NA
"17449","1926","Other pigs","Meath",827
"17450","1933","Other pigs","Meath",650
"17451","1955","Other pigs","Meath",760
"17452","1960","Other pigs","Meath",1931
"17453","1965","Other pigs","Meath",3482
"17454","1970","Other pigs","Meath",1297
"17455","1975","Other pigs","Meath",2420
"17456","1980","Other pigs","Meath",NA
"17457","1926","Horses and ponies","Meath",1361
"17458","1933","Horses and ponies","Meath",1236
"17459","1955","Horses and ponies","Meath",564
"17460","1960","Horses and ponies","Meath",363
"17461","1965","Horses and ponies","Meath",304
"17462","1970","Horses and ponies","Meath",254
"17463","1975","Horses and ponies","Meath",291
"17464","1980","Horses and ponies","Meath",255
"17465","1926","Working horses and ponies","Meath",NA
"17466","1933","Working horses and ponies","Meath",NA
"17467","1955","Working horses and ponies","Meath",NA
"17468","1960","Working horses and ponies","Meath",231
"17469","1965","Working horses and ponies","Meath",77
"17470","1970","Working horses and ponies","Meath",29
"17471","1975","Working horses and ponies","Meath",13
"17472","1980","Working horses and ponies","Meath",5
"17473","1926","Thoroughbreds","Meath",NA
"17474","1933","Thoroughbreds","Meath",NA
"17475","1955","Thoroughbreds","Meath",NA
"17476","1960","Thoroughbreds","Meath",90
"17477","1965","Thoroughbreds","Meath",172
"17478","1970","Thoroughbreds","Meath",137
"17479","1975","Thoroughbreds","Meath",110
"17480","1980","Thoroughbreds","Meath",85
"17481","1926","Other horses and ponies","Meath",NA
"17482","1933","Other horses and ponies","Meath",NA
"17483","1955","Other horses and ponies","Meath",NA
"17484","1960","Other horses and ponies","Meath",42
"17485","1965","Other horses and ponies","Meath",55
"17486","1970","Other horses and ponies","Meath",88
"17487","1975","Other horses and ponies","Meath",168
"17488","1980","Other horses and ponies","Meath",165
"17489","1926","Mules, jennets and asses","Meath",NA
"17490","1933","Mules, jennets and asses","Meath",NA
"17491","1955","Mules, jennets and asses","Meath",NA
"17492","1960","Mules, jennets and asses","Meath",NA
"17493","1965","Mules, jennets and asses","Meath",NA
"17494","1970","Mules, jennets and asses","Meath",NA
"17495","1975","Mules, jennets and asses","Meath",28
"17496","1980","Mules, jennets and asses","Meath",23
"17497","1926","Goats","Meath",NA
"17498","1933","Goats","Meath",NA
"17499","1955","Goats","Meath",NA
"17500","1960","Goats","Meath",NA
"17501","1965","Goats","Meath",NA
"17502","1970","Goats","Meath",NA
"17503","1975","Goats","Meath",NA
"17504","1980","Goats","Meath",32
"17505","1926","Poultry","Meath",53166
"17506","1933","Poultry","Meath",54720
"17507","1955","Poultry","Meath",34665
"17508","1960","Poultry","Meath",33385
"17509","1965","Poultry","Meath",45230
"17510","1970","Poultry","Meath",166621
"17511","1975","Poultry","Meath",283360
"17512","1980","Poultry","Meath",NA
"17513","1926","Turkeys","Meath",3635
"17514","1933","Turkeys","Meath",2755
"17515","1955","Turkeys","Meath",2302
"17516","1960","Turkeys","Meath",1743
"17517","1965","Turkeys","Meath",1894
"17518","1970","Turkeys","Meath",1643
"17519","1975","Turkeys","Meath",591
"17520","1980","Turkeys","Meath",356
"17521","1926","Geese","Meath",742
"17522","1933","Geese","Meath",614
"17523","1955","Geese","Meath",72
"17524","1960","Geese","Meath",118
"17525","1965","Geese","Meath",63
"17526","1970","Geese","Meath",38
"17527","1975","Geese","Meath",36
"17528","1980","Geese","Meath",96
"17529","1926","Ducks","Meath",5296
"17530","1933","Ducks","Meath",3295
"17531","1955","Ducks","Meath",604
"17532","1960","Ducks","Meath",396
"17533","1965","Ducks","Meath",208
"17534","1970","Ducks","Meath",138
"17535","1975","Ducks","Meath",186
"17536","1980","Ducks","Meath",187
"17537","1926","Ordinary fowl","Meath",43493
"17538","1933","Ordinary fowl","Meath",48056
"17539","1955","Ordinary fowl","Meath",31687
"17540","1960","Ordinary fowl","Meath",31128
"17541","1965","Ordinary fowl","Meath",43065
"17542","1970","Ordinary fowl","Meath",164802
"17543","1975","Ordinary fowl","Meath",282547
"17544","1980","Ordinary fowl","Meath",NA
"17545","1926","Cattle","Navan",38759
"17546","1933","Cattle","Navan",36606
"17547","1955","Cattle","Navan",39255
"17548","1960","Cattle","Navan",42050
"17549","1965","Cattle","Navan",46294
"17550","1970","Cattle","Navan",50983
"17551","1975","Cattle","Navan",55420
"17552","1980","Cattle","Navan",52427
"17553","1926","Bulls","Navan",62
"17554","1933","Bulls","Navan",75
"17555","1955","Bulls","Navan",74
"17556","1960","Bulls","Navan",72
"17557","1965","Bulls","Navan",91
"17558","1970","Bulls","Navan",91
"17559","1975","Bulls","Navan",67
"17560","1980","Bulls","Navan",51
"17561","1926","Cows","Navan",3413
"17562","1933","Cows","Navan",3294
"17563","1955","Cows","Navan",5895
"17564","1960","Cows","Navan",7257
"17565","1965","Cows","Navan",8469
"17566","1970","Cows","Navan",9844
"17567","1975","Cows","Navan",11495
"17568","1980","Cows","Navan",12018
"17569","1926","Dairy cows","Navan",NA
"17570","1933","Dairy cows","Navan",NA
"17571","1955","Dairy cows","Navan",NA
"17572","1960","Dairy cows","Navan",NA
"17573","1965","Dairy cows","Navan",NA
"17574","1970","Dairy cows","Navan",NA
"17575","1975","Dairy cows","Navan",8197
"17576","1980","Dairy cows","Navan",10286
"17577","1926","Other cows","Navan",NA
"17578","1933","Other cows","Navan",NA
"17579","1955","Other cows","Navan",NA
"17580","1960","Other cows","Navan",NA
"17581","1965","Other cows","Navan",NA
"17582","1970","Other cows","Navan",NA
"17583","1975","Other cows","Navan",3298
"17584","1980","Other cows","Navan",1732
"17585","1926","Cows : friesian and friesian cross","Navan",NA
"17586","1933","Cows : friesian and friesian cross","Navan",NA
"17587","1955","Cows : friesian and friesian cross","Navan",NA
"17588","1960","Cows : friesian and friesian cross","Navan",817
"17589","1965","Cows : friesian and friesian cross","Navan",2768
"17590","1970","Cows : friesian and friesian cross","Navan",6442
"17591","1975","Cows : friesian and friesian cross","Navan",9542
"17592","1980","Cows : friesian and friesian cross","Navan",10978
"17593","1926","Cows : shorthorn","Navan",NA
"17594","1933","Cows : shorthorn","Navan",NA
"17595","1955","Cows : shorthorn","Navan",NA
