"","Region.and.County","Year","Type.of.Cattle","value"
"132","Wicklow","2013","Total cattle",122.1
"133","Clare","2013","Total cattle",290.5
"134","Cork","2013","Total cattle",1040.9
"135","Kerry","2013","Total cattle",335.9
"136","Limerick","2013","Total cattle",406.9
"137","North Tipperary","2013","Total cattle",311.7
"138","South Tipperary","2013","Total cattle",333
"139","Waterford","2013","Total cattle",255.1
"140","Galway","2013","Total cattle",432
"141","Leitrim","2013","Total cattle",66.6
"142","Mayo","2013","Total cattle",284.7
"143","Roscommon","2013","Total cattle",211.7
"144","Sligo","2013","Total cattle",117
"145","Cavan","2013","Total cattle",225.2
"146","Donegal","2013","Total cattle",191.1
"147","Monaghan","2013","Total cattle",209.2
"148","Dublin plus Mid East","2013","Total cattle",580.5
"149","State","2010","Cows",2229.2
"150","Carlow","2010","Cows",28.1
"151","Border, Midland and Western","2010","Cows",817.5
"152","Border","2010","Cows",302.9
"153","Kildare","2010","Cows",31.8
"154","Midland","2010","Cows",219.2
"155","Kilkenny","2010","Cows",100.5
"156","Laois","2010","Cows",65.4
"157","West","2010","Cows",295.4
"158","Longford","2010","Cows",36.4
"159","Southern and Eastern","2010","Cows",1411.6
"160","Louth","2010","Cows",25.1
"161","Dublin","2010","Cows",7.1
"162","Meath","2010","Cows",88.3
"163","Offaly","2010","Cows",56.9
"164","Mid-West","2010","Cows",327.8
"165","Westmeath","2010","Cows",60.4
"166","South-East","2010","Cows",403.8
"167","South-West","2010","Cows",511.2
"168","Wexford","2010","Cows",88.5
"169","Wicklow","2010","Cows",41.7
"170","Clare","2010","Cows",102.3
"171","Cork","2010","Cows",377.8
"172","Kerry","2010","Cows",133.4
"173","Limerick","2010","Cows",138.3
"174","North Tipperary","2010","Cows",87.2
"175","South Tipperary","2010","Cows",100.4
"176","Waterford","2010","Cows",86.4
"177","Galway","2010","Cows",134
"178","Leitrim","2010","Cows",28.7
"179","Mayo","2010","Cows",97.5
"180","Roscommon","2010","Cows",63.8
"181","Sligo","2010","Cows",41
"182","Cavan","2010","Cows",79.8
"183","Donegal","2010","Cows",62.7
"184","Monaghan","2010","Cows",65.6
"185","Dublin plus Mid East","2010","Cows",168.9
"186","State","2011","Cows",2240.2
"187","Carlow","2011","Cows",27.9
"188","Border, Midland and Western","2011","Cows",808.7
"189","Border","2011","Cows",299.5
"190","Kildare","2011","Cows",31.5
"191","Midland","2011","Cows",217.6
"192","Kilkenny","2011","Cows",100.7
"193","Laois","2011","Cows",65.5
"194","West","2011","Cows",291.6
"195","Longford","2011","Cows",35.5
"196","Southern and Eastern","2011","Cows",1431.5
"197","Louth","2011","Cows",25.6
"198","Dublin","2011","Cows",7.4
"199","Meath","2011","Cows",87.9
"200","Offaly","2011","Cows",55.1
"201","Mid-West","2011","Cows",332.2
"202","Westmeath","2011","Cows",61.5
"203","South-East","2011","Cows",408.2
"204","South-West","2011","Cows",523.7
"205","Wexford","2011","Cows",88.3
"206","Wicklow","2011","Cows",40.7
"207","Clare","2011","Cows",102
"208","Cork","2011","Cows",386
"209","Kerry","2011","Cows",137.7
"210","Limerick","2011","Cows",142.7
"211","North Tipperary","2011","Cows",87.5
"212","South Tipperary","2011","Cows",103.9
"213","Waterford","2011","Cows",87.4
"214","Galway","2011","Cows",131.7
"215","Leitrim","2011","Cows",27.4
"216","Mayo","2011","Cows",96.3
"217","Roscommon","2011","Cows",63.6
"218","Sligo","2011","Cows",40.2
"219","Cavan","2011","Cows",78.8
"220","Donegal","2011","Cows",62.2
"221","Monaghan","2011","Cows",65.3
"222","Dublin plus Mid East","2011","Cows",167.4
"223","State","2012","Cows",2289.4
"224","Carlow","2012","Cows",28.5
"225","Border, Midland and Western","2012","Cows",830.9
"226","Border","2012","Cows",306.2
"227","Kildare","2012","Cows",32.3
"228","Midland","2012","Cows",225
"229","Kilkenny","2012","Cows",104.2
"230","Laois","2012","Cows",66.6
"231","West","2012","Cows",299.6
"232","Longford","2012","Cows",37
"233","Southern and Eastern","2012","Cows",1458.6
"234","Louth","2012","Cows",25.6
"235","Dublin","2012","Cows",7
"236","Meath","2012","Cows",89.2
"237","Offaly","2012","Cows",56.4
"238","Mid-West","2012","Cows",341.6
"239","Westmeath","2012","Cows",65.1
"240","South-East","2012","Cows",416.5
"241","South-West","2012","Cows",530.8
"242","Wexford","2012","Cows",89.5
"243","Wicklow","2012","Cows",41.2
"244","Clare","2012","Cows",105.5
"245","Cork","2012","Cows",390.1
"246","Kerry","2012","Cows",140.7
"247","Limerick","2012","Cows",144.9
"248","North Tipperary","2012","Cows",91.2
"249","South Tipperary","2012","Cows",105.7
"250","Waterford","2012","Cows",88.6
"251","Galway","2012","Cows",135.7
"252","Leitrim","2012","Cows",27.8
"253","Mayo","2012","Cows",98.6
"254","Roscommon","2012","Cows",65.3
"255","Sligo","2012","Cows",40.9
"256","Cavan","2012","Cows",81.7
"257","Donegal","2012","Cows",62.8
"258","Monaghan","2012","Cows",67.5
"259","Dublin plus Mid East","2012","Cows",169.7
"260","State","2013","Cows",2313.5
"261","Carlow","2013","Cows",29.4
"262","Border, Midland and Western","2013","Cows",834.5
"263","Border","2013","Cows",306
"264","Kildare","2013","Cows",33.6
"265","Midland","2013","Cows",227.5
"266","Kilkenny","2013","Cows",107.5
"267","Laois","2013","Cows",68
"268","West","2013","Cows",301
"269","Longford","2013","Cows",36.8
"270","Southern and Eastern","2013","Cows",1479
"271","Louth","2013","Cows",26.2
"272","Dublin","2013","Cows",7
"273","Meath","2013","Cows",90.1
"274","Offaly","2013","Cows",57.6
"275","Mid-West","2013","Cows",343.6
"276","Westmeath","2013","Cows",65
"277","South-East","2013","Cows",428.7
"278","South-West","2013","Cows",534
"279","Wexford","2013","Cows",92.1
"280","Wicklow","2013","Cows",41.9
"281","Clare","2013","Cows",105.8
"282","Cork","2013","Cows",395.9
"283","Kerry","2013","Cows",138.1
"284","Limerick","2013","Cows",145
"285","North Tipperary","2013","Cows",92.8
"286","South Tipperary","2013","Cows",108.5
"287","Waterford","2013","Cows",91.3
"288","Galway","2013","Cows",137.3
"289","Leitrim","2013","Cows",27.7
"290","Mayo","2013","Cows",98.6
"291","Roscommon","2013","Cows",65.1
"292","Sligo","2013","Cows",41.1
"293","Cavan","2013","Cows",81.3
"294","Donegal","2013","Cows",62.5
"295","Monaghan","2013","Cows",67.2
"296","Dublin plus Mid East","2013","Cows",172.6
"297","State","2010","Dairy cows",1070.8
"298","Carlow","2010","Dairy cows",10.6
"299","Border, Midland and Western","2010","Dairy cows",215.8
"300","Border","2010","Dairy cows",97.6
"301","Kildare","2010","Dairy cows",11.4
"302","Midland","2010","Dairy cows",73.1
"303","Kilkenny","2010","Dairy cows",58.7
"304","Laois","2010","Dairy cows",27.5
"305","West","2010","Dairy cows",45.1
"306","Longford","2010","Dairy cows",7.3
"307","Southern and Eastern","2010","Dairy cows",855
"308","Louth","2010","Dairy cows",11.9
"309","Dublin","2010","Dairy cows",2.7
"310","Meath","2010","Dairy cows",44.3
"311","Offaly","2010","Dairy cows",20.5
"312","Mid-West","2010","Dairy cows",167.5
"313","Westmeath","2010","Dairy cows",17.8
"314","South-East","2010","Dairy cows",243
"315","South-West","2010","Dairy cows",368.5
"316","Wexford","2010","Dairy cows",51.8
"317","Wicklow","2010","Dairy cows",17.5
"318","Clare","2010","Dairy cows",25.4
"319","Cork","2010","Dairy cows",284.1
"320","Kerry","2010","Dairy cows",84.4
"321","Limerick","2010","Dairy cows",94.1
"322","North Tipperary","2010","Dairy cows",48
"323","South Tipperary","2010","Dairy cows",65.3
"324","Waterford","2010","Dairy cows",56.5
"325","Galway","2010","Dairy cows",24.9
"326","Leitrim","2010","Dairy cows",1.9
"327","Mayo","2010","Dairy cows",15.2
"328","Roscommon","2010","Dairy cows",4.9
"329","Sligo","2010","Dairy cows",7.4
"330","Cavan","2010","Dairy cows",30.6
"331","Donegal","2010","Dairy cows",15.5
"332","Monaghan","2010","Dairy cows",30.3
"333","Dublin plus Mid East","2010","Dairy cows",76
"334","State","2011","Dairy cows",1116.9
"335","Carlow","2011","Dairy cows",10.8
"336","Border, Midland and Western","2011","Dairy cows",223.2
"337","Border","2011","Dairy cows",100.5
"338","Kildare","2011","Dairy cows",11.9
"339","Midland","2011","Dairy cows",75.7
"340","Kilkenny","2011","Dairy cows",60.6
"341","Laois","2011","Dairy cows",29
"342","West","2011","Dairy cows",47
"343","Longford","2011","Dairy cows",7.4
"344","Southern and Eastern","2011","Dairy cows",893.7
"345","Louth","2011","Dairy cows",12.5
"346","Dublin","2011","Dairy cows",3.2
"347","Meath","2011","Dairy cows",45.8
"348","Offaly","2011","Dairy cows",20.7
"349","Mid-West","2011","Dairy cows",177
"350","Westmeath","2011","Dairy cows",18.6
"351","South-East","2011","Dairy cows",254.4
"352","South-West","2011","Dairy cows",384.4
"353","Wexford","2011","Dairy cows",53.2
"354","Wicklow","2011","Dairy cows",17.1
