"","Region.and.County","Year","Type.of.Cattle","value"
"676","Longford","2012","Bulls",0.8
"677","Southern and Eastern","2012","Bulls",20.8
"678","Louth","2012","Bulls",0.3
"679","Dublin","2012","Bulls",0.1
"680","Meath","2012","Bulls",1.3
"681","Offaly","2012","Bulls",1
"682","Mid-West","2012","Bulls",5.4
"683","Westmeath","2012","Bulls",1.1
"684","South-East","2012","Bulls",5.8
"685","South-West","2012","Bulls",6.9
"686","Wexford","2012","Bulls",1.4
"687","Wicklow","2012","Bulls",0.8
"688","Clare","2012","Bulls",2.1
"689","Cork","2012","Bulls",4.7
"690","Kerry","2012","Bulls",2.2
"691","Limerick","2012","Bulls",2
"692","North Tipperary","2012","Bulls",1.3
"693","South Tipperary","2012","Bulls",1.3
"694","Waterford","2012","Bulls",1.2
"695","Galway","2012","Bulls",2.7
"696","Leitrim","2012","Bulls",0.6
"697","Mayo","2012","Bulls",1.7
"698","Roscommon","2012","Bulls",1.4
"699","Sligo","2012","Bulls",0.7
"700","Cavan","2012","Bulls",1.5
"701","Donegal","2012","Bulls",1
"702","Monaghan","2012","Bulls",1.3
"703","Dublin plus Mid East","2012","Bulls",2.7
"704","State","2013","Bulls",41.4
"705","Carlow","2013","Bulls",0.6
"706","Border, Midland and Western","2013","Bulls",17.6
"707","Border","2013","Bulls",6.2
"708","Kildare","2013","Bulls",0.6
"709","Midland","2013","Bulls",4.5
"710","Kilkenny","2013","Bulls",1.6
"711","Laois","2013","Bulls",1.2
"712","West","2013","Bulls",6.9
"713","Longford","2013","Bulls",1
"714","Southern and Eastern","2013","Bulls",23.8
"715","Louth","2013","Bulls",0.4
"716","Dublin","2013","Bulls",0.1
"717","Meath","2013","Bulls",1.5
"718","Offaly","2013","Bulls",1.1
"719","Mid-West","2013","Bulls",6.3
"720","Westmeath","2013","Bulls",1.3
"721","South-East","2013","Bulls",6.4
"722","South-West","2013","Bulls",8
"723","Wexford","2013","Bulls",1.5
"724","Wicklow","2013","Bulls",0.9
"725","Clare","2013","Bulls",2.5
"726","Cork","2013","Bulls",5.4
"727","Kerry","2013","Bulls",2.5
"728","Limerick","2013","Bulls",2.3
"729","North Tipperary","2013","Bulls",1.5
"730","South Tipperary","2013","Bulls",1.4
"731","Waterford","2013","Bulls",1.3
"732","Galway","2013","Bulls",3.2
"733","Leitrim","2013","Bulls",0.7
"734","Mayo","2013","Bulls",2
"735","Roscommon","2013","Bulls",1.7
"736","Sligo","2013","Bulls",0.8
"737","Cavan","2013","Bulls",1.7
"738","Donegal","2013","Bulls",1.2
"739","Monaghan","2013","Bulls",1.4
"740","Dublin plus Mid East","2013","Bulls",3.1
"741","State","2010","Cattle: 2 years and over",932.4
"742","Carlow","2010","Cattle: 2 years and over",12.9
"743","Border, Midland and Western","2010","Cattle: 2 years and over",382.9
"744","Border","2010","Cattle: 2 years and over",105.9
"745","Kildare","2010","Cattle: 2 years and over",31.1
"746","Midland","2010","Cattle: 2 years and over",137.9
"747","Kilkenny","2010","Cattle: 2 years and over",43.8
"748","Laois","2010","Cattle: 2 years and over",36.3
"749","West","2010","Cattle: 2 years and over",139
"750","Longford","2010","Cattle: 2 years and over",19
"751","Southern and Eastern","2010","Cattle: 2 years and over",549.5
"752","Louth","2010","Cattle: 2 years and over",14.4
"753","Dublin","2010","Cattle: 2 years and over",5.1
"754","Meath","2010","Cattle: 2 years and over",59.7
"755","Offaly","2010","Cattle: 2 years and over",42.6
"756","Mid-West","2010","Cattle: 2 years and over",137.4
"757","Westmeath","2010","Cattle: 2 years and over",40.1
"758","South-East","2010","Cattle: 2 years and over",161.4
"759","South-West","2010","Cattle: 2 years and over",140.2
"760","Wexford","2010","Cattle: 2 years and over",30.8
"761","Wicklow","2010","Cattle: 2 years and over",14.6
"762","Clare","2010","Cattle: 2 years and over",33.2
"763","Cork","2010","Cattle: 2 years and over",106.8
"764","Kerry","2010","Cattle: 2 years and over",33.4
"765","Limerick","2010","Cattle: 2 years and over",56.2
"766","North Tipperary","2010","Cattle: 2 years and over",48
"767","South Tipperary","2010","Cattle: 2 years and over",45.1
"768","Waterford","2010","Cattle: 2 years and over",28.9
"769","Galway","2010","Cattle: 2 years and over",67.2
"770","Leitrim","2010","Cattle: 2 years and over",6.2
"771","Mayo","2010","Cattle: 2 years and over",37.3
"772","Roscommon","2010","Cattle: 2 years and over",34.5
"773","Sligo","2010","Cattle: 2 years and over",14.5
"774","Cavan","2010","Cattle: 2 years and over",26.2
"775","Donegal","2010","Cattle: 2 years and over",18
"776","Monaghan","2010","Cattle: 2 years and over",26.5
"777","Dublin plus Mid East","2010","Cattle: 2 years and over",110.5
"778","State","2011","Cattle: 2 years and over",837.4
"779","Carlow","2011","Cattle: 2 years and over",11.8
"780","Border, Midland and Western","2011","Cattle: 2 years and over",343.7
"781","Border","2011","Cattle: 2 years and over",98.1
"782","Kildare","2011","Cattle: 2 years and over",26.9
"783","Midland","2011","Cattle: 2 years and over",123.2
"784","Kilkenny","2011","Cattle: 2 years and over",39.5
"785","Laois","2011","Cattle: 2 years and over",32.3
"786","West","2011","Cattle: 2 years and over",122.5
"787","Longford","2011","Cattle: 2 years and over",16.6
"788","Southern and Eastern","2011","Cattle: 2 years and over",493.7
"789","Louth","2011","Cattle: 2 years and over",13
"790","Dublin","2011","Cattle: 2 years and over",4.4
"791","Meath","2011","Cattle: 2 years and over",53.1
"792","Offaly","2011","Cattle: 2 years and over",37.9
"793","Mid-West","2011","Cattle: 2 years and over",121.9
"794","Westmeath","2011","Cattle: 2 years and over",36.4
"795","South-East","2011","Cattle: 2 years and over",147.8
"796","South-West","2011","Cattle: 2 years and over",125.7
"797","Wexford","2011","Cattle: 2 years and over",28
"798","Wicklow","2011","Cattle: 2 years and over",14
"799","Clare","2011","Cattle: 2 years and over",30.4
"800","Cork","2011","Cattle: 2 years and over",96.2
"801","Kerry","2011","Cattle: 2 years and over",29.6
"802","Limerick","2011","Cattle: 2 years and over",51.4
"803","North Tipperary","2011","Cattle: 2 years and over",40.1
"804","South Tipperary","2011","Cattle: 2 years and over",41.1
"805","Waterford","2011","Cattle: 2 years and over",27.3
"806","Galway","2011","Cattle: 2 years and over",58
"807","Leitrim","2011","Cattle: 2 years and over",5.8
"808","Mayo","2011","Cattle: 2 years and over",33.2
"809","Roscommon","2011","Cattle: 2 years and over",31.2
"810","Sligo","2011","Cattle: 2 years and over",13.3
"811","Cavan","2011","Cattle: 2 years and over",23
"812","Donegal","2011","Cattle: 2 years and over",18.3
"813","Monaghan","2011","Cattle: 2 years and over",24.7
"814","Dublin plus Mid East","2011","Cattle: 2 years and over",98.3
"815","State","2012","Cattle: 2 years and over",732.6
"816","Carlow","2012","Cattle: 2 years and over",9.6
"817","Border, Midland and Western","2012","Cattle: 2 years and over",308.4
"818","Border","2012","Cattle: 2 years and over",90.7
"819","Kildare","2012","Cattle: 2 years and over",23
"820","Midland","2012","Cattle: 2 years and over",107.4
"821","Kilkenny","2012","Cattle: 2 years and over",33.7
"822","Laois","2012","Cattle: 2 years and over",26.9
"823","West","2012","Cattle: 2 years and over",110.3
"824","Longford","2012","Cattle: 2 years and over",15.3
"825","Southern and Eastern","2012","Cattle: 2 years and over",424.2
"826","Louth","2012","Cattle: 2 years and over",11.8
"827","Dublin","2012","Cattle: 2 years and over",3.7
"828","Meath","2012","Cattle: 2 years and over",46.2
"829","Offaly","2012","Cattle: 2 years and over",31.7
"830","Mid-West","2012","Cattle: 2 years and over",104.6
"831","Westmeath","2012","Cattle: 2 years and over",33.6
"832","South-East","2012","Cattle: 2 years and over",127.3
"833","South-West","2012","Cattle: 2 years and over",106.5
"834","Wexford","2012","Cattle: 2 years and over",23.1
"835","Wicklow","2012","Cattle: 2 years and over",12.7
"836","Clare","2012","Cattle: 2 years and over",27.5
"837","Cork","2012","Cattle: 2 years and over",81.7
"838","Kerry","2012","Cattle: 2 years and over",24.8
"839","Limerick","2012","Cattle: 2 years and over",42.3
"840","North Tipperary","2012","Cattle: 2 years and over",34.8
"841","South Tipperary","2012","Cattle: 2 years and over",36.4
"842","Waterford","2012","Cattle: 2 years and over",24.5
"843","Galway","2012","Cattle: 2 years and over",51.8
"844","Leitrim","2012","Cattle: 2 years and over",5.4
"845","Mayo","2012","Cattle: 2 years and over",30.6
"846","Roscommon","2012","Cattle: 2 years and over",27.9
"847","Sligo","2012","Cattle: 2 years and over",12.9
"848","Cavan","2012","Cattle: 2 years and over",21.4
"849","Donegal","2012","Cattle: 2 years and over",16.7
"850","Monaghan","2012","Cattle: 2 years and over",22.4
"851","Dublin plus Mid East","2012","Cattle: 2 years and over",85.7
"852","State","2013","Cattle: 2 years and over",768.3
"853","Carlow","2013","Cattle: 2 years and over",10.1
"854","Border, Midland and Western","2013","Cattle: 2 years and over",320.9
"855","Border","2013","Cattle: 2 years and over",90
"856","Kildare","2013","Cattle: 2 years and over",24.3
"857","Midland","2013","Cattle: 2 years and over",113.5
"858","Kilkenny","2013","Cattle: 2 years and over",36.7
"859","Laois","2013","Cattle: 2 years and over",30.3
"860","West","2013","Cattle: 2 years and over",117.4
"861","Longford","2013","Cattle: 2 years and over",15.1
"862","Southern and Eastern","2013","Cattle: 2 years and over",447.4
"863","Louth","2013","Cattle: 2 years and over",12.1
"864","Dublin","2013","Cattle: 2 years and over",3.9
"865","Meath","2013","Cattle: 2 years and over",49.1
"866","Offaly","2013","Cattle: 2 years and over",35
"867","Mid-West","2013","Cattle: 2 years and over",111.1
"868","Westmeath","2013","Cattle: 2 years and over",33.2
"869","South-East","2013","Cattle: 2 years and over",135.5
"870","South-West","2013","Cattle: 2 years and over",110.6
"871","Wexford","2013","Cattle: 2 years and over",24.6
"872","Wicklow","2013","Cattle: 2 years and over",12.9
"873","Clare","2013","Cattle: 2 years and over",27.8
"874","Cork","2013","Cattle: 2 years and over",84.8
"875","Kerry","2013","Cattle: 2 years and over",25.8
"876","Limerick","2013","Cattle: 2 years and over",44.7
"877","North Tipperary","2013","Cattle: 2 years and over",38.6
"878","South Tipperary","2013","Cattle: 2 years and over",39.2
"879","Waterford","2013","Cattle: 2 years and over",24.9
"880","Galway","2013","Cattle: 2 years and over",56.7
"881","Leitrim","2013","Cattle: 2 years and over",4.9
"882","Mayo","2013","Cattle: 2 years and over",32.2
"883","Roscommon","2013","Cattle: 2 years and over",28.5
"884","Sligo","2013","Cattle: 2 years and over",13.2
"885","Cavan","2013","Cattle: 2 years and over",20.6
"886","Donegal","2013","Cattle: 2 years and over",16.5
"887","Monaghan","2013","Cattle: 2 years and over",22.6
"888","Dublin plus Mid East","2013","Cattle: 2 years and over",90.2
"889","State","2010","Cattle male: 2 years and over",506.2
"890","Carlow","2010","Cattle male: 2 years and over",6.4
"891","Border, Midland and Western","2010","Cattle male: 2 years and over",195.1
"892","Border","2010","Cattle male: 2 years and over",45.5
"893","Kildare","2010","Cattle male: 2 years and over",20.4
"894","Midland","2010","Cattle male: 2 years and over",76.6
"895","Kilkenny","2010","Cattle male: 2 years and over",27.1
"896","Laois","2010","Cattle male: 2 years and over",21.9
"897","West","2010","Cattle male: 2 years and over",73
"898","Longford","2010","Cattle male: 2 years and over",10.8
"899","Southern and Eastern","2010","Cattle male: 2 years and over",311.1
"900","Louth","2010","Cattle male: 2 years and over",7.7
"901","Dublin","2010","Cattle male: 2 years and over",2.5
"902","Meath","2010","Cattle male: 2 years and over",32.5
"903","Offaly","2010","Cattle male: 2 years and over",22.8
"904","Mid-West","2010","Cattle male: 2 years and over",79.6
"905","Westmeath","2010","Cattle male: 2 years and over",21.1
"906","South-East","2010","Cattle male: 2 years and over",95
"907","South-West","2010","Cattle male: 2 years and over",74.9
"908","Wexford","2010","Cattle male: 2 years and over",15.1
"909","Wicklow","2010","Cattle male: 2 years and over",6.2
"910","Clare","2010","Cattle male: 2 years and over",16.9
"911","Cork","2010","Cattle male: 2 years and over",59.1
"912","Kerry","2010","Cattle male: 2 years and over",15.8
"913","Limerick","2010","Cattle male: 2 years and over",33.1
"914","North Tipperary","2010","Cattle male: 2 years and over",29.6
"915","South Tipperary","2010","Cattle male: 2 years and over",29
"916","Waterford","2010","Cattle male: 2 years and over",17.3
"917","Galway","2010","Cattle male: 2 years and over",35.8
"918","Leitrim","2010","Cattle male: 2 years and over",1.5
"919","Mayo","2010","Cattle male: 2 years and over",18.4
"920","Roscommon","2010","Cattle male: 2 years and over",18.8
"921","Sligo","2010","Cattle male: 2 years and over",6.1
"922","Cavan","2010","Cattle male: 2 years and over",11.2
"923","Donegal","2010","Cattle male: 2 years and over",6.7
"924","Monaghan","2010","Cattle male: 2 years and over",12.5
"925","Dublin plus Mid East","2010","Cattle male: 2 years and over",61.6
"926","State","2011","Cattle male: 2 years and over",425.5
"927","Carlow","2011","Cattle male: 2 years and over",5.4
"928","Border, Midland and Western","2011","Cattle male: 2 years and over",161.8
"929","Border","2011","Cattle male: 2 years and over",38.9
"930","Kildare","2011","Cattle male: 2 years and over",17.2
"931","Midland","2011","Cattle male: 2 years and over",65.3
"932","Kilkenny","2011","Cattle male: 2 years and over",23.7
"933","Laois","2011","Cattle male: 2 years and over",18.5
"934","West","2011","Cattle male: 2 years and over",57.6
"935","Longford","2011","Cattle male: 2 years and over",8.6
"936","Southern and Eastern","2011","Cattle male: 2 years and over",263.7
"937","Louth","2011","Cattle male: 2 years and over",6.6
"938","Dublin","2011","Cattle male: 2 years and over",1.9
"939","Meath","2011","Cattle male: 2 years and over",27.3
"940","Offaly","2011","Cattle male: 2 years and over",19.7
"941","Mid-West","2011","Cattle male: 2 years and over",66.4
"942","Westmeath","2011","Cattle male: 2 years and over",18.5
"943","South-East","2011","Cattle male: 2 years and over",82.7
"944","South-West","2011","Cattle male: 2 years and over",62.6
"945","Wexford","2011","Cattle male: 2 years and over",12.3
"946","Wicklow","2011","Cattle male: 2 years and over",5.6
"947","Clare","2011","Cattle male: 2 years and over",14.7
"948","Cork","2011","Cattle male: 2 years and over",50
"949","Kerry","2011","Cattle male: 2 years and over",12.6
"950","Limerick","2011","Cattle male: 2 years and over",28.5
"951","North Tipperary","2011","Cattle male: 2 years and over",23.2
"952","South Tipperary","2011","Cattle male: 2 years and over",25.5
"953","Waterford","2011","Cattle male: 2 years and over",15.8
"954","Galway","2011","Cattle male: 2 years and over",27.7
"955","Leitrim","2011","Cattle male: 2 years and over",1.2
"956","Mayo","2011","Cattle male: 2 years and over",14.8
"957","Roscommon","2011","Cattle male: 2 years and over",15.2
"958","Sligo","2011","Cattle male: 2 years and over",5.2
"959","Cavan","2011","Cattle male: 2 years and over",8.7
"960","Donegal","2011","Cattle male: 2 years and over",6.6
"961","Monaghan","2011","Cattle male: 2 years and over",10.5
"962","Dublin plus Mid East","2011","Cattle male: 2 years and over",52
"963","State","2012","Cattle male: 2 years and over",360.6
"964","Carlow","2012","Cattle male: 2 years and over",4.3
"965","Border, Midland and Western","2012","Cattle male: 2 years and over",140.7
"966","Border","2012","Cattle male: 2 years and over",35.4
"967","Kildare","2012","Cattle male: 2 years and over",14.3
"968","Midland","2012","Cattle male: 2 years and over",54.4
"969","Kilkenny","2012","Cattle male: 2 years and over",19.9
"970","Laois","2012","Cattle male: 2 years and over",14.9
"971","West","2012","Cattle male: 2 years and over",50.9
"972","Longford","2012","Cattle male: 2 years and over",7.9
"973","Southern and Eastern","2012","Cattle male: 2 years and over",219.9
"974","Louth","2012","Cattle male: 2 years and over",5.8
"975","Dublin","2012","Cattle male: 2 years and over",1.6
"976","Meath","2012","Cattle male: 2 years and over",22.7
"977","Offaly","2012","Cattle male: 2 years and over",14.7
"978","Mid-West","2012","Cattle male: 2 years and over",55.8
"979","Westmeath","2012","Cattle male: 2 years and over",16.8
"980","South-East","2012","Cattle male: 2 years and over",69.9
"981","South-West","2012","Cattle male: 2 years and over",50.4
"982","Wexford","2012","Cattle male: 2 years and over",9.4
"983","Wicklow","2012","Cattle male: 2 years and over",5.3
"984","Clare","2012","Cattle male: 2 years and over",13.2
"985","Cork","2012","Cattle male: 2 years and over",40
"986","Kerry","2012","Cattle male: 2 years and over",10.4
"987","Limerick","2012","Cattle male: 2 years and over",23.2
"988","North Tipperary","2012","Cattle male: 2 years and over",19.4
"989","South Tipperary","2012","Cattle male: 2 years and over",22.5
"990","Waterford","2012","Cattle male: 2 years and over",13.8
"991","Galway","2012","Cattle male: 2 years and over",24.5
"992","Leitrim","2012","Cattle male: 2 years and over",1.2
"993","Mayo","2012","Cattle male: 2 years and over",13.3
"994","Roscommon","2012","Cattle male: 2 years and over",13.2
"995","Sligo","2012","Cattle male: 2 years and over",5.1
"996","Cavan","2012","Cattle male: 2 years and over",8.1
"997","Donegal","2012","Cattle male: 2 years and over",6
"998","Monaghan","2012","Cattle male: 2 years and over",9.2
"999","Dublin plus Mid East","2012","Cattle male: 2 years and over",43.8
"1000","State","2013","Cattle male: 2 years and over",388.2
"1001","Carlow","2013","Cattle male: 2 years and over",4.7
"1002","Border, Midland and Western","2013","Cattle male: 2 years and over",150
"1003","Border","2013","Cattle male: 2 years and over",36.1
"1004","Kildare","2013","Cattle male: 2 years and over",14.9
"1005","Midland","2013","Cattle male: 2 years and over",58.3
"1006","Kilkenny","2013","Cattle male: 2 years and over",22.4
"1007","Laois","2013","Cattle male: 2 years and over",16.9
"1008","West","2013","Cattle male: 2 years and over",55.5
"1009","Longford","2013","Cattle male: 2 years and over",8
"1010","Southern and Eastern","2013","Cattle male: 2 years and over",238.2
"1011","Louth","2013","Cattle male: 2 years and over",6.4
"1012","Dublin","2013","Cattle male: 2 years and over",1.7
"1013","Meath","2013","Cattle male: 2 years and over",24
"1014","Offaly","2013","Cattle male: 2 years and over",17
"1015","Mid-West","2013","Cattle male: 2 years and over",61.9
"1016","Westmeath","2013","Cattle male: 2 years and over",16.3
"1017","South-East","2013","Cattle male: 2 years and over",77.1
"1018","South-West","2013","Cattle male: 2 years and over",53.6
"1019","Wexford","2013","Cattle male: 2 years and over",10.3
"1020","Wicklow","2013","Cattle male: 2 years and over",5
"1021","Clare","2013","Cattle male: 2 years and over",14
"1022","Cork","2013","Cattle male: 2 years and over",42.8
"1023","Kerry","2013","Cattle male: 2 years and over",10.9
"1024","Limerick","2013","Cattle male: 2 years and over",25.3
"1025","North Tipperary","2013","Cattle male: 2 years and over",22.7
"1026","South Tipperary","2013","Cattle male: 2 years and over",25.4
"1027","Waterford","2013","Cattle male: 2 years and over",14.4
"1028","Galway","2013","Cattle male: 2 years and over",28
"1029","Leitrim","2013","Cattle male: 2 years and over",1.1
"1030","Mayo","2013","Cattle male: 2 years and over",14.1
"1031","Roscommon","2013","Cattle male: 2 years and over",13.4
"1032","Sligo","2013","Cattle male: 2 years and over",5.1
"1033","Cavan","2013","Cattle male: 2 years and over",7.9
"1034","Donegal","2013","Cattle male: 2 years and over",6
"1035","Monaghan","2013","Cattle male: 2 years and over",9.8
"1036","Dublin plus Mid East","2013","Cattle male: 2 years and over",45.5
"1037","State","2010","Cattle female: 2 years and over",426.2
"1038","Carlow","2010","Cattle female: 2 years and over",6.5
"1039","Border, Midland and Western","2010","Cattle female: 2 years and over",187.8
"1040","Border","2010","Cattle female: 2 years and over",60.5
"1041","Kildare","2010","Cattle female: 2 years and over",10.7
"1042","Midland","2010","Cattle female: 2 years and over",61.3
"1043","Kilkenny","2010","Cattle female: 2 years and over",16.7
"1044","Laois","2010","Cattle female: 2 years and over",14.5
"1045","West","2010","Cattle female: 2 years and over",66
"1046","Longford","2010","Cattle female: 2 years and over",8.1
"1047","Southern and Eastern","2010","Cattle female: 2 years and over",238.5
"1048","Louth","2010","Cattle female: 2 years and over",6.8
"1049","Dublin","2010","Cattle female: 2 years and over",2.6
"1050","Meath","2010","Cattle female: 2 years and over",27.2
"1051","Offaly","2010","Cattle female: 2 years and over",19.8
"1052","Mid-West","2010","Cattle female: 2 years and over",57.9
"1053","Westmeath","2010","Cattle female: 2 years and over",19
"1054","South-East","2010","Cattle female: 2 years and over",66.4
"1055","South-West","2010","Cattle female: 2 years and over",65.3
"1056","Wexford","2010","Cattle female: 2 years and over",15.6
"1057","Wicklow","2010","Cattle female: 2 years and over",8.4
"1058","Clare","2010","Cattle female: 2 years and over",16.3
"1059","Cork","2010","Cattle female: 2 years and over",47.7
"1060","Kerry","2010","Cattle female: 2 years and over",17.6
"1061","Limerick","2010","Cattle female: 2 years and over",23.1
"1062","North Tipperary","2010","Cattle female: 2 years and over",18.4
"1063","South Tipperary","2010","Cattle female: 2 years and over",16.1
"1064","Waterford","2010","Cattle female: 2 years and over",11.5
"1065","Galway","2010","Cattle female: 2 years and over",31.4
"1066","Leitrim","2010","Cattle female: 2 years and over",4.7
"1067","Mayo","2010","Cattle female: 2 years and over",18.8
"1068","Roscommon","2010","Cattle female: 2 years and over",15.8
"1069","Sligo","2010","Cattle female: 2 years and over",8.5
"1070","Cavan","2010","Cattle female: 2 years and over",15.1
"1071","Donegal","2010","Cattle female: 2 years and over",11.3
"1072","Monaghan","2010","Cattle female: 2 years and over",14.1
"1073","Dublin plus Mid East","2010","Cattle female: 2 years and over",48.9
"1074","State","2011","Cattle female: 2 years and over",411.9
"1075","Carlow","2011","Cattle female: 2 years and over",6.4
"1076","Border, Midland and Western","2011","Cattle female: 2 years and over",181.8
"1077","Border","2011","Cattle female: 2 years and over",59.2
"1078","Kildare","2011","Cattle female: 2 years and over",9.7
"1079","Midland","2011","Cattle female: 2 years and over",57.9
"1080","Kilkenny","2011","Cattle female: 2 years and over",15.8
"1081","Laois","2011","Cattle female: 2 years and over",13.8
"1082","West","2011","Cattle female: 2 years and over",64.8
"1083","Longford","2011","Cattle female: 2 years and over",8
"1084","Southern and Eastern","2011","Cattle female: 2 years and over",230
"1085","Louth","2011","Cattle female: 2 years and over",6.3
"1086","Dublin","2011","Cattle female: 2 years and over",2.4
"1087","Meath","2011","Cattle female: 2 years and over",25.8
"1088","Offaly","2011","Cattle female: 2 years and over",18.2
"1089","Mid-West","2011","Cattle female: 2 years and over",55.5
"1090","Westmeath","2011","Cattle female: 2 years and over",17.8
"1091","South-East","2011","Cattle female: 2 years and over",65
"1092","South-West","2011","Cattle female: 2 years and over",63.2
"1093","Wexford","2011","Cattle female: 2 years and over",15.7
"1094","Wicklow","2011","Cattle female: 2 years and over",8.4
"1095","Clare","2011","Cattle female: 2 years and over",15.7
"1096","Cork","2011","Cattle female: 2 years and over",46.2
"1097","Kerry","2011","Cattle female: 2 years and over",17
"1098","Limerick","2011","Cattle female: 2 years and over",22.9
"1099","North Tipperary","2011","Cattle female: 2 years and over",16.9
"1100","South Tipperary","2011","Cattle female: 2 years and over",15.6
"1101","Waterford","2011","Cattle female: 2 years and over",11.5
"1102","Galway","2011","Cattle female: 2 years and over",30.3
"1103","Leitrim","2011","Cattle female: 2 years and over",4.6
"1104","Mayo","2011","Cattle female: 2 years and over",18.4
"1105","Roscommon","2011","Cattle female: 2 years and over",16.1
"1106","Sligo","2011","Cattle female: 2 years and over",8.1
"1107","Cavan","2011","Cattle female: 2 years and over",14.2
"1108","Donegal","2011","Cattle female: 2 years and over",11.7
"1109","Monaghan","2011","Cattle female: 2 years and over",14.2
"1110","Dublin plus Mid East","2011","Cattle female: 2 years and over",46.3
"1111","State","2012","Cattle female: 2 years and over",372
"1112","Carlow","2012","Cattle female: 2 years and over",5.4
"1113","Border, Midland and Western","2012","Cattle female: 2 years and over",167.7
"1114","Border","2012","Cattle female: 2 years and over",55.3
"1115","Kildare","2012","Cattle female: 2 years and over",8.8
"1116","Midland","2012","Cattle female: 2 years and over",53
"1117","Kilkenny","2012","Cattle female: 2 years and over",13.8
"1118","Laois","2012","Cattle female: 2 years and over",11.9
"1119","West","2012","Cattle female: 2 years and over",59.4
"1120","Longford","2012","Cattle female: 2 years and over",7.4
"1121","Southern and Eastern","2012","Cattle female: 2 years and over",204.3
"1122","Louth","2012","Cattle female: 2 years and over",6
"1123","Dublin","2012","Cattle female: 2 years and over",2.1
"1124","Meath","2012","Cattle female: 2 years and over",23.6
"1125","Offaly","2012","Cattle female: 2 years and over",17
"1126","Mid-West","2012","Cattle female: 2 years and over",48.8
"1127","Westmeath","2012","Cattle female: 2 years and over",16.7
"1128","South-East","2012","Cattle female: 2 years and over",57.4
"1129","South-West","2012","Cattle female: 2 years and over",56.1
"1130","Wexford","2012","Cattle female: 2 years and over",13.7
"1131","Wicklow","2012","Cattle female: 2 years and over",7.5
"1132","Clare","2012","Cattle female: 2 years and over",14.3
"1133","Cork","2012","Cattle female: 2 years and over",41.7
"1134","Kerry","2012","Cattle female: 2 years and over",14.4
"1135","Limerick","2012","Cattle female: 2 years and over",19.1
"1136","North Tipperary","2012","Cattle female: 2 years and over",15.4
"1137","South Tipperary","2012","Cattle female: 2 years and over",13.9
"1138","Waterford","2012","Cattle female: 2 years and over",10.7
"1139","Galway","2012","Cattle female: 2 years and over",27.3
"1140","Leitrim","2012","Cattle female: 2 years and over",4.2
"1141","Mayo","2012","Cattle female: 2 years and over",17.4
"1142","Roscommon","2012","Cattle female: 2 years and over",14.7
"1143","Sligo","2012","Cattle female: 2 years and over",7.8
"1144","Cavan","2012","Cattle female: 2 years and over",13.3
"1145","Donegal","2012","Cattle female: 2 years and over",10.7
"1146","Monaghan","2012","Cattle female: 2 years and over",13.3
"1147","Dublin plus Mid East","2012","Cattle female: 2 years and over",41.9
"1148","State","2013","Cattle female: 2 years and over",380.1
"1149","Carlow","2013","Cattle female: 2 years and over",5.4
"1150","Border, Midland and Western","2013","Cattle female: 2 years and over",170.9
"1151","Border","2013","Cattle female: 2 years and over",53.9
"1152","Kildare","2013","Cattle female: 2 years and over",9.4
"1153","Midland","2013","Cattle female: 2 years and over",55.2
"1154","Kilkenny","2013","Cattle female: 2 years and over",14.2
"1155","Laois","2013","Cattle female: 2 years and over",13.3
"1156","West","2013","Cattle female: 2 years and over",61.9
"1157","Longford","2013","Cattle female: 2 years and over",7.1
"1158","Southern and Eastern","2013","Cattle female: 2 years and over",209.2
"1159","Louth","2013","Cattle female: 2 years and over",5.8
"1160","Dublin","2013","Cattle female: 2 years and over",2.3
"1161","Meath","2013","Cattle female: 2 years and over",25.1
"1162","Offaly","2013","Cattle female: 2 years and over",17.9
"1163","Mid-West","2013","Cattle female: 2 years and over",49.2
"1164","Westmeath","2013","Cattle female: 2 years and over",16.9
"1165","South-East","2013","Cattle female: 2 years and over",58.4
"1166","South-West","2013","Cattle female: 2 years and over",57
"1167","Wexford","2013","Cattle female: 2 years and over",14.3
"1168","Wicklow","2013","Cattle female: 2 years and over",7.9
"1169","Clare","2013","Cattle female: 2 years and over",13.8
"1170","Cork","2013","Cattle female: 2 years and over",42.1
"1171","Kerry","2013","Cattle female: 2 years and over",14.9
"1172","Limerick","2013","Cattle female: 2 years and over",19.4
"1173","North Tipperary","2013","Cattle female: 2 years and over",15.9
"1174","South Tipperary","2013","Cattle female: 2 years and over",13.9
"1175","Waterford","2013","Cattle female: 2 years and over",10.6
"1176","Galway","2013","Cattle female: 2 years and over",28.7
"1177","Leitrim","2013","Cattle female: 2 years and over",3.9
"1178","Mayo","2013","Cattle female: 2 years and over",18.1
"1179","Roscommon","2013","Cattle female: 2 years and over",15
"1180","Sligo","2013","Cattle female: 2 years and over",8.1
"1181","Cavan","2013","Cattle female: 2 years and over",12.8
"1182","Donegal","2013","Cattle female: 2 years and over",10.5
"1183","Monaghan","2013","Cattle female: 2 years and over",12.9
"1184","Dublin plus Mid East","2013","Cattle female: 2 years and over",44.7
"1185","State","2010","Cattle: 1-2 years",1631.7
"1186","Carlow","2010","Cattle: 1-2 years",25
"1187","Border, Midland and Western","2010","Cattle: 1-2 years",629.7
"1188","Border","2010","Cattle: 1-2 years",210.2
"1189","Kildare","2010","Cattle: 1-2 years",34
"1190","Midland","2010","Cattle: 1-2 years",209.2
